武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,HP,バフ,熟知,率ダメ,聖遺物組み合わせ,サブステ,スコア
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+会心率,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+会心率,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+会心率,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,745589.4,947,570,39796.61,0.766,160,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+HP%,トーマ+鍾離+万葉,745471.1,1035,570,44230.63,0.45,0,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),楽団+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,745455.8,947,570,43835.82,0.766,365,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+千岩,HP%+HP%+元素熟知,アルベド+トーマ+万葉,745313.6,1035,570,43228.42,0.3,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,745136.2,947,570,39796.61,0.916,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,745136.2,947,570,39796.61,0.916,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,745136.2,947,570,39796.61,0.916,392,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,745136.2,947,570,39796.61,0.916,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,745075.6,1035,570,40191.42,0.916,125,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,745075.6,1035,570,40191.42,0.916,125,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,千岩+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,745075.6,1035,570,40191.42,0.916,125,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,745075.6,1035,570,40191.42,0.916,125,0.87:1.73,,0.62:0.35,1.6
古祠の瓏,黒曜の秘典4,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,744966.3,947,570,31900.41,0.916,352,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,楽団+金メッキ,HP%+HP%+HP%,アルベド+トーマ+万葉,744164.7,1035,570,44230.63,0.3,285,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+楽団,HP%+元素バフ+HP%,アルベド+トーマ+万葉,744140.6,947,570,46872.82,0.766,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+金メッキ,HP%+元素バフ+HP%,アルベド+トーマ+万葉,744140.6,947,570,46872.82,0.766,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),楽団+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,744140.6,947,570,46872.82,0.766,285,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,744140.6,947,570,46872.82,0.766,285,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,743882.4,1035,570,36152.21,0.766,187,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+千岩,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,743771.4,947,570,42833.61,0.766,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,743723.4,1035,570,30078.21,0.3,542,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素熟知+会心率,アルベド+トーマ+万葉,743723.3,1035,570,30078.21,0.3,542,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),花海+楽団,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+楽団,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+金メッキ,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+金メッキ,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+千岩,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+千岩,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,743635.6,947,570,32720.4,0.766,472,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+沈淪,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+沈淪,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+黒曜の秘典,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+黒曜の秘典,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),千岩+沈淪,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),千岩+沈淪,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,743325,947,570,32720.4,0.916,267,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+会心率,トーマ+鍾離+万葉,743194.8,1136.36,570,37154.42,0.3,180,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+HP%+会心ダメージ,トーマ+鍾離+万葉,743194.8,1136.36,570,37154.42,0.3,180,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典4,HP%+HP%+HP%,アルベド+トーマ+鍾離,743053.9,1035,570,44230.63,0.3,125,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+会心率,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+沈淪,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+会心率,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+黒曜の秘典,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+会心率,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+沈淪,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+会心率,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+黒曜の秘典,HP%+元素バフ+会心ダメージ,トーマ+鍾離+万葉,742607.5,947,570,36759.61,0.916,160,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,741895.8,947,570,43835.82,1.066,205,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+楽団,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,741762.7,1035,570,33115.21,0.766,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,741762.7,1035,570,33115.21,0.766,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,741762.7,1035,570,33115.21,0.766,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,741762.7,1035,570,33115.21,0.766,267,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+楽団,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,741503.9,1035,570,33115.21,0.3,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+金メッキ,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,741503.9,1035,570,33115.21,0.3,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,楽団+千岩,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,741503.9,1035,570,33115.21,0.3,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素熟知+会心ダメージ,アルベド+トーマ+万葉,741503.9,1035,570,33115.21,0.3,392,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+楽団,HP%+元素熟知+会心率,アルベド+トーマ+万葉,741503.8,1035,570,33115.21,0.3,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+金メッキ,HP%+元素熟知+会心率,アルベド+トーマ+万葉,741503.8,1035,570,33115.21,0.3,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,楽団+千岩,HP%+元素熟知+会心率,アルベド+トーマ+万葉,741503.8,1035,570,33115.21,0.3,392,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,金メッキ+千岩,HP%+元素熟知+会心率,アルベド+トーマ+万葉,741503.8,1035,570,33115.21,0.3,392,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+HP%,トーマ+鍾離+万葉,741481.6,947,570,50912.03,0.45,80,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),金メッキ4(同元素1),HP%+元素バフ+HP%,トーマ+鍾離+万葉,741238.8,1036.04,570,43835.82,0.766,260,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素バフ+元素熟知,トーマ+鍾離+万葉,741026.5,1061.48,570,29683.4,0.766,454,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,740925.8,947,570,36759.61,0.45,267,1.00:2.37,,0.18:1.25,1.6
古祠の瓏(完凸),しめ縄4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,740676.6,1061.48,570,36759.61,0.3,454,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+HP%+会心率,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+黒曜の秘典,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,千岩+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,千岩+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+HP%+会心率,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,黒曜の秘典+千岩,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,740669.3,1035,570,40191.42,0.45,125,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),花海+楽団,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+楽団,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),花海+金メッキ,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),花海+金メッキ,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),楽団+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),楽団+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ+千岩,元素熟知+元素バフ+会心率,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ+千岩,元素熟知+元素バフ+会心ダメージ,トーマ+鍾離+万葉,740323.7,947,570,32720.4,0.766,347,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,740163.7,1035,570,37154.42,0.6,312,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素熟知+会心率,トーマ+鍾離+万葉,740117.7,1061.48,570,29683.4,0.3,454,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),しめ縄4,元素熟知+元素熟知+会心ダメージ,トーマ+鍾離+万葉,740117.7,1061.48,570,29683.4,0.3,454,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+元素熟知,トーマ+鍾離+万葉,740087.8,947,570,43835.82,0.45,267,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,楽団+金メッキ,HP%+元素バフ+HP%,トーマ+鍾離+万葉,740075.9,1035,570,37154.42,0.766,160,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+会心率,トーマ+鍾離+万葉,739665.8,1035,570,30078.21,0.45,187,1.00:2.44,,0.27:1.06,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+会心ダメージ,トーマ+鍾離+万葉,739665.8,1035,570,30078.21,0.45,187,1.00:2.44,,0.58:0.44,1.6
サーフィンタイム,花海+楽団,HP%+HP%+元素熟知,アルベド+トーマ+万葉,739605.6,1035,570,40191.42,0.3,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+元素熟知,アルベド+トーマ+万葉,739605.6,1035,570,40191.42,0.3,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+千岩,HP%+HP%+元素熟知,アルベド+トーマ+万葉,739605.6,1035,570,40191.42,0.3,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+千岩,HP%+HP%+元素熟知,アルベド+トーマ+万葉,739605.6,1035,570,40191.42,0.3,392,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),花海+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,739597.5,947,570,46872.82,0.916,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),花海+黒曜の秘典,HP%+元素バフ+HP%,アルベド+トーマ+万葉,739597.5,947,570,46872.82,0.916,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),千岩+沈淪,HP%+元素バフ+HP%,アルベド+トーマ+万葉,739597.5,947,570,46872.82,0.916,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),黒曜の秘典+千岩,HP%+元素バフ+HP%,アルベド+トーマ+万葉,739597.5,947,570,46872.82,0.916,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),火魔女4(1),HP%+元素バフ+会心率,アルベド+トーマ+万葉,739339.1,947,570,36759.61,0.766,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),火魔女4(1),HP%+元素バフ+会心ダメージ,アルベド+トーマ+万葉,739339.1,947,570,36759.61,0.766,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+HP%,アルベド+トーマ+万葉,739231.9,1035,570,44230.63,0.45,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+HP%,アルベド+トーマ+万葉,739231.9,1035,570,44230.63,0.45,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+HP%,アルベド+トーマ+万葉,739231.9,1035,570,44230.63,0.45,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+HP%,アルベド+トーマ+万葉,739231.9,1035,570,44230.63,0.45,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+千岩,HP%+HP%+会心率,アルベド+トーマ+万葉,739186.9,1035,570,43228.42,0.3,125,1.00:2.04,,0.47:0.66,1.6
サーフィンタイム,花海+千岩,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,739186.9,1035,570,43228.42,0.3,125,1.00:2.04,,0.78:0.04,1.6
古祠の瓏(完凸),沈淪4,HP%+HP%+HP%,アルベド+トーマ+万葉,738785.1,947,570,50912.03,0.45,205,0.83:1.66,,0.22:1.16,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,エミリエ+トーマ+万葉,738739.4,947,570,36759.61,0.766,310,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,エミリエ+トーマ+万葉,738739.4,947,570,36759.61,0.766,310,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+白朮+万葉,738739.4,947,570,36759.61,0.766,310,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+白朮+万葉,738739.4,947,570,36759.61,0.766,310,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心率,トーマ+万葉,738739.4,947,570,36759.61,0.766,310,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+会心ダメージ,トーマ+万葉,738739.4,947,570,36759.61,0.766,310,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,738243.9,947,570,36759.61,1.066,392,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,アルベド+トーマ+鍾離,737882.6,1035,570,37154.42,0.616,355,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,737686.8,947,570,29683.4,1.066,392,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),黒曜の秘典+沈淪,元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,737686.8,947,570,29683.4,1.066,392,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,楽団+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,736857.1,1035,570,37154.42,0.45,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,楽団+黒曜の秘典,HP%+HP%+元素熟知,アルベド+トーマ+万葉,736857.1,1035,570,37154.42,0.45,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+沈淪,HP%+HP%+元素熟知,アルベド+トーマ+万葉,736857.1,1035,570,37154.42,0.45,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ+黒曜の秘典,HP%+HP%+元素熟知,アルベド+トーマ+万葉,736857.1,1035,570,37154.42,0.45,392,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,エミリエ+トーマ+万葉,736834.8,1035,570,30078.21,0.45,374,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+白朮+万葉,736834.8,1035,570,30078.21,0.45,374,1.00:2.13,,0.42:0.75,1.6
サーフィンタイム,黒曜の秘典4,HP%+元素熟知+元素熟知,トーマ+万葉,736834.8,1035,570,30078.21,0.45,374,1.00:2.13,,0.42:0.75,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,736311.4,947,570,36759.61,0.766,622,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+元素熟知,アルベド+トーマ+万葉,736170.8,1136.36,570,30078.21,0.766,492,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),金メッキ4(同元素0),元素熟知+元素バフ+会心率,アルベド+トーマ+万葉,735755.8,947,570,29683.4,0.766,622,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),元素熟知+元素バフ+会心ダメージ,アルベド+トーマ+万葉,735755.8,947,570,29683.4,0.766,622,0.99:1.97,,0.38:0.85,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+HP%+会心率,アルベド+トーマ+万葉,735378.2,947,570,43835.82,0.3,435,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),金メッキ4(同元素0),HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,735378.2,947,570,43835.82,0.3,435,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,金メッキ4(同元素1),HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,735296,1136.36,570,30078.21,0.766,367,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,エミリエ+トーマ+万葉,735202.6,947,570,43835.82,0.45,267,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+白朮+万葉,735202.6,947,570,43835.82,0.45,267,1.00:2.06,,0.02:1.56,1.6
古祠の瓏(完凸),黒曜の秘典4,HP%+HP%+元素熟知,トーマ+万葉,735202.6,947,570,43835.82,0.45,267,1.00:2.06,,0.02:1.56,1.6
サーフィンタイム,沈淪4,HP%+元素バフ+元素熟知,トーマ+鍾離+万葉,735139.1,1035,570,30078.21,0.916,187,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,エミリエ+トーマ+万葉,734926.4,1035,570,37154.42,0.766,230,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+白朮+万葉,734926.4,1035,570,37154.42,0.766,230,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,金メッキ4(同元素0),HP%+元素バフ+HP%,トーマ+万葉,734926.4,1035,570,37154.42,0.766,230,0.87:1.73,,0.62:0.35,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心率,アルベド+トーマ+鍾離,734870.3,947,570,36759.61,0.766,205,0.99:1.97,,0.06:1.47,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+会心ダメージ,アルベド+トーマ+鍾離,734870.3,947,570,36759.61,0.766,205,0.99:1.97,,0.38:0.85,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+元素熟知,アルベド+トーマ+万葉,734471.6,1035,570,30078.21,0.45,499,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,沈淪4,HP%+元素熟知+元素熟知,トーマ+鍾離+万葉,734408.1,1035,570,30078.21,0.45,374,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+HP%+会心ダメージ,アルベド+トーマ+万葉,734079.3,1035,570,37154.42,0.6,125,1.00:2.04,,0.78:0.04,1.6
サーフィンタイム,黒曜の秘典+沈淪,HP%+HP%+会心率,アルベド+トーマ+万葉,734079.2,1035,570,37154.42,0.6,125,1.00:2.04,,0.47:0.66,1.6
古祠の瓏(完凸),沈淪4,HP%+元素バフ+HP%,トーマ+鍾離+万葉,733597.4,947,570,43835.82,0.916,80,0.83:1.66,,0.22:1.16,1.6
サーフィンタイム,花海+楽団,HP%+HP%+HP%,アルベド+トーマ+万葉,733019.2,1035,570,47267.63,0.3,205,0.87:1.73,,0.62:0.35,1.6
サーフィンタイム,花海+金メッキ,HP%+HP%+HP%,アルベド+トーマ+万葉,733019.2,1035,570,47267.63,0.3,205,0.87:1.73,,0.62:0.35,1.6
